STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRM_AGES,_T,_T,_T,YR,_Z,_Z,_Z,1999,6.0,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,Primary school starting age (years),Total,All age ranges or no breakdown by age,Total,Years,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SH_DYN_1014,_T,Y10T14,_T,10P3PS,_Z,_Z,_Z,1999,2.3,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Probability of dying among adolescents ages 10-14 years (per 1,000)",Total,10 to 14 years old,Total,Per 1 000 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SH_DYN_1519,_T,Y15T19,_T,10P3PS,_Z,_Z,_Z,1999,4.3,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Probability of dying among adolescents ages 15-19 years (per 1,000)",Total,15 to 19 years old,Total,Per 1 000 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SH_DYN_0509,_T,Y5T9,_T,10P3PS,_Z,_Z,_Z,1999,2.3,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Probability of dying among children ages 5-9 years (per 1,000)",Total,5 to 9 years old,Total,Per 1 000 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SH_DYN_2024,_T,Y20T24,_T,10P3PS,_Z,_Z,_Z,1999,4.8,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Probability of dying among youth ages 20-24 years (per 1,000)",Total,20 to 24 years old,Total,Per 1 000 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_SEC_PROG_ZS,_T,_T,_T,PT,_Z,_Z,_Z,1999,99.42451,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,Progression to secondary school (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_SEC_PROG_FE_ZS,F,_T,_T,PT,_Z,_Z,_Z,1999,100.0,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Progression to secondary school, female (%)",Female,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_SEC_PROG_MA_ZS,M,_T,_T,PT,_Z,_Z,_Z,1999,98.87288,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Progression to secondary school, male (%)",Male,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_SEC_ENRL_LO_TC_ZS,_T,_T,_T,RO,_Z,_Z,_Z,1999,26.49727,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Pupil-teacher ratio, lower secondary",Total,All age ranges or no breakdown by age,Total,Ratio,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRE_ENRL_TC_ZS,_T,_T,_T,RO,_Z,_Z,_Z,1999,28.60378,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Pupil-teacher ratio, preprimary",Total,All age ranges or no breakdown by age,Total,Ratio,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRM_ENRL_TC_ZS,_T,_T,_T,RO,_Z,_Z,_Z,1999,37.76489,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Pupil-teacher ratio, primary",Total,All age ranges or no breakdown by age,Total,Ratio,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_SEC_ENRL_TC_ZS,_T,_T,_T,RO,_Z,_Z,_Z,1999,25.09606,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Pupil-teacher ratio, secondary",Total,All age ranges or no breakdown by age,Total,Ratio,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_TER_ENRL_TC_ZS,_T,_T,_T,RO,_Z,_Z,_Z,1999,20.47004,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Pupil-teacher ratio, tertiary",Total,All age ranges or no breakdown by age,Total,Ratio,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_SEC_ENRL_UP_TC_ZS,_T,_T,_T,RO,_Z,_Z,_Z,1999,19.24211,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Pupil-teacher ratio, upper secondary",Total,All age ranges or no breakdown by age,Total,Ratio,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SL_TLF_CACT_FM_ZS,F,_T,_T,RO,_Z,_Z,_Z,1999,18.989823961969844,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Female,All age ranges or no breakdown by age,Total,Ratio,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
